ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
5116-2130,Yükseltepe,Keçiören,Ankara,8.500.000 TL,200,185,4 + 1,2,18 Katlı,2. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Doğu, Batı",,https://www.hepsiemlak.com/ankara-kecioren-yukseltepe-satilik/daire/5116-2130
5116-2104,Yayla,Keçiören,Ankara,6.750.000 TL,130,120,3 + 1,1,4 Katlı,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-kecioren-yayla-satilik/daire/5116-2104
1077-67468,Caddebostan,Kadıköy,İstanbul,22.750.000 TL,125,95,3 + 1,1,9 Katlı,6. Kat,7 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/1077-67468
1077-67496,Erenköy,Kadıköy,İstanbul,12.750.000 TL,75,60,2 + 1,2,8 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,,,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-satilik/daire/1077-67496
113784-2405,Ovacık,Keçiören,Ankara,5.849.000 TL,140,130,3 + 1,2,4 Katlı,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",250 TL,https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2405
113784-2164,Ovacık,Keçiören,Ankara,6.495.000 TL,145,130,3 + 1,1,3 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",100 TL,https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2164
164896-19,Tevfikiye,Yunusemre,Manisa,5.350.000 TL,120,115,3 + 1,1,6 Katlı,5. Kat,21 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/manisa-yunusemre-tevfikiye-satilik/daire/164896-19
51689-7859,Mahkeme,Burhaniye,Balıkesir,2.500.000 TL,58,55,1 + 1,1,3 Katlı,En Üst Kat,5 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/balikesir-burhaniye-mahkeme-satilik/daire/51689-7859
51689-7853,Yaya,Gömeç,Balıkesir,2.800.000 TL,55,50,1 + 1,1,3 Katlı,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/balikesir-gomec-yaya-satilik/daire/51689-7853
113784-2353,Etlik,Keçiören,Ankara,4.799.000 TL,140,130,3 + 1,1,3 Katlı,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2353
130826-2511,Yeni,Didim,Aydın,5.800.000 TL,135,120,3 + 1,1,5 Katlı,3. Kat,6 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/aydin-didim-yeni-satilik/daire/130826-2511
